# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 1, r = 1.000000e+10 cm, r = 16832.386518751366 rg, structure = BellLin, mu = 0.62
8.015884618936748751e+00 8.511587169583317518e+03 9.465505223632228000e+15 1.525947840921334234e+34 1.744061355836687768e-02 2.930647712194538559e-08 2.542274642977182884e+04 9.991451329111195810e+04 1.866758063243152606e+02 1.054365182757870632e-02 4.299782521861730800e+01 2.357052164021728569e+00 7.841444744968669722e-01 1.137134081491393722e+00 4.059958231528394967e-01 
7.916081453495322329e+00 8.472485860006661824e+03 9.292766085071232000e+15 1.498100313578402336e+34 1.721433103293628156e-02 2.911585143362265825e-08 2.528793104429650339e+04 9.873821888929106353e+04 1.862890140292309695e+02 1.044474101585908532e-02 4.328746231391478716e+01 2.308753960170184971e+00 7.896972282824987754e-01 1.137673362875877503e+00 4.047938200963158706e-01 
7.817826464532177333e+00 8.433564177611189734e+03 9.123179320238436000e+15 1.470760984981409003e+34 1.698753947777735182e-02 2.893076385411572427e-08 2.515448981312449541e+04 9.759282942233678477e+04 1.848867711146635031e+02 1.034603431085951743e-02 4.358265752395180925e+01 2.260468830513309157e+00 7.953634890136143110e-01 1.138287439504110710e+00 4.036022459107544424e-01 
7.721109580699430985e+00 8.394821297209071417e+03 8.956687400421953000e+15 1.443920580843179593e+34 1.676031905867689589e-02 2.875129044830032378e-08 2.502241143065259530e+04 9.647815690614140476e+04 1.838131542380476162e+02 1.024748791632481594e-02 4.388373710644022907e+01 2.212232881713619648e+00 8.011431001686856179e-01 1.138978990877175690e+00 4.024239105254355797e-01 
7.625953312818713137e+00 8.356256397403332812e+03 8.793233846770552000e+15 1.417569996126100485e+34 1.653267559611851234e-02 2.857759623772903771e-08 2.489167655620075675e+04 9.539428135237780225e+04 1.830269654548309575e+02 1.014901807827754514e-02 4.419121007690122127e+01 2.164063063595249581e+00 8.070404568563299685e-01 1.139755216765390378e+00 4.012654286965128825e-01 
7.532359650099467174e+00 8.317868660570378779e+03 8.632763211134121000e+15 1.391700291953382185e+34 1.630466864931335788e-02 2.840979369841076737e-08 2.476226805620322921e+04 9.434111313866922865e+04 1.825184643972016829e+02 1.005056453471960508e-02 4.450551384218505291e+01 2.115990130527823254e+00 8.130570037621167589e-01 1.140620650720419293e+00 4.001314574926834733e-01 
7.440343250144788811e+00 8.279657272842696329e+03 8.475221057254237000e+15 1.366302692576763243e+34 1.607633611082005809e-02 2.824802928770693835e-08 2.463416438922560337e+04 9.331865821264305850e+04 1.823172853474393094e+02 9.952051749707898146e-03 4.482717474312482864e+01 2.068039279654757312e+00 8.191958501583942454e-01 1.141581710810777306e+00 3.990283158656118823e-01 
7.349919516557858579e+00 8.241621424091608787e+03 8.320553942297849000e+15 1.341368582399529039e+34 1.584771818750040431e-02 2.809245438415496852e-08 2.450734190527077953e+04 9.232692887927536503e+04 1.825139483444120287e+02 9.853402409433798317e-03 4.515675616169918527e+01 2.020236234008017551e+00 8.254602482082716852e-01 1.142645096112146819e+00 3.979627321040346555e-01 
7.261092114319549040e+00 8.203760307910057236e+03 8.168709398727755000e+15 1.316889503053824870e+34 1.561888504106109798e-02 2.794319281039187274e-08 2.438177503557442833e+04 9.136583819612738444e+04 1.812582776572837702e+02 9.754549272722446568e-03 4.549480664213556480e+01 1.972614121949655575e+00 8.318516737108244685e-01 1.143815855934255721e+00 3.969406885714995004e-01 
7.173884464740583056e+00 8.166073121595555676e+03 8.019635916504311000e+15 1.292857150531367752e+34 1.538987344718791180e-02 2.780041673119411209e-08 2.425743598185617520e+04 9.043544825305699487e+04 1.801241248888707105e+02 9.655408450689838620e-03 4.584198368530498158e+01 1.925197312206600397e+00 8.383744370932713075e-01 1.145102255681351267e+00 3.959702326999001709e-01 
