# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 0.5, r = 1.000000e+10 cm, r = 16832.386518751366 rg, structure = BellLin, mu = 0.62
8.212319431979020479e+00 6.761228671178389959e+03 3.768808687133221000e+15 6.075751207255321841e+33 9.301040480690600173e-03 3.897906721102825920e-08 2.276780854480735070e+04 1.190132098050673521e+05 3.077675050955564302e+02 5.694027037476858365e-03 7.509145048479605578e+01 7.521408680054491036e-01 1.132590361530373846e+00 1.303903111249864910e+00 4.496195411744333681e-01 
8.182005052667610911e+00 6.730168318964057107e+03 3.700030449666184000e+15 5.964872811981533783e+33 9.097057144217464766e-03 3.918826947246805246e-08 2.264236276060036107e+04 1.189927017592386546e+05 3.082724074356681854e+02 5.570528766135846542e-03 7.653789687006774045e+01 7.235870477174730642e-01 1.147552964291676636e+00 1.315785828454675732e+00 4.582730006954630619e-01 
8.156580153805681022e+00 6.699250654643678899e+03 3.632507369025008000e+15 5.856017873251469198e+33 8.895620483899632086e-03 3.941808541046558184e-08 2.251499967081016803e+04 1.190172651875258016e+05 3.114181669053037353e+02 5.445121607343316079e-03 7.807326737693155394e+01 6.958976912199928977e-01 1.163071302808690533e+00 1.328398569386871841e+00 4.679493726662755648e-01 
8.136231441713064783e+00 6.668475022724538576e+03 3.566216539437265500e+15 5.749149464336806773e+33 8.696812968321842793e-03 3.966929363403830057e-08 2.238544793327628940e+04 1.190865604876197904e+05 3.163211125832263519e+02 5.317777651940090548e-03 7.970540810360374451e+01 6.690742693951027276e-01 1.179176188127667446e+00 1.341779691569911837e+00 4.787682249039012516e-01 
8.121205997527928488e+00 6.637840770725153561e+03 3.501135473145489000e+15 5.644231332397214946e+33 8.500702566904676585e-03 3.994289644694139047e-08 2.225337229989594925e+04 1.192004469241195038e+05 3.160799204578429453e+02 5.188421157120068176e-03 8.144380488423809084e+01 6.431163487878737151e-01 1.195903551973794166e+00 1.355974119948222256e+00 4.908783114447188289e-01 
8.111725184501548114e+00 6.607347249161498439e+03 3.437242092778805500e+15 5.541227886182546350e+33 8.307364445961067795e-03 4.023986395010442376e-08 2.211844222620921937e+04 1.193585505345174606e+05 3.163724024604182432e+02 5.057016629206907178e-03 8.329860118004070557e+01 6.180228175057326245e-01 1.213286781298530626e+00 1.371023259723335830e+00 5.044435729495753140e-01 
8.108087230866283690e+00 6.576993811533181542e+03 3.374514723863534500e+15 5.440104183959071424e+33 8.116858025931152423e-03 4.056145961200043454e-08 2.198024324197313035e+04 1.195607317865544901e+05 3.180851154877706790e+02 4.923468713775314316e-03 8.528221825886990359e+01 5.937910342784318285e-01 1.231365247038867183e+00 1.386976320697318688e+00 5.196703433360507773e-01 
8.110576361844834992e+00 6.546779814309789799e+03 3.312932087470698000e+15 5.340825921656414634e+33 7.929249308230027632e-03 4.090901916918622392e-08 2.183832782449617662e+04 1.198066552284493519e+05 3.204234071408748719e+02 4.787693622995320246e-03 8.740866254860158335e+01 5.704185981604170674e-01 1.250174343483463568e+00 1.403877945222591350e+00 5.367979930703496994e-01 
8.119518451955995531e+00 6.516704616917198109e+03 3.252473292997492000e+15 5.243359421230467478e+33 7.744595615976817247e-03 4.128406150254144862e-08 2.169220646672854127e+04 1.200960272664959484e+05 3.176378252877130421e+02 4.649604860384570770e-03 8.969407265076398517e+01 5.479013421037013387e-01 1.269752612533042280e+00 1.421776592194835986e+00 5.561123252083455260e-01 
8.135307825771940671e+00 6.486767581724009688e+03 3.193117831080643000e+15 5.147671619238903101e+33 7.562945979161992544e-03 4.168848235708062621e-08 2.154127211057944805e+04 1.204286803912062023e+05 3.170892995786575739e+02 4.509051856330432810e-03 9.215824284322778226e+01 5.262353452185848379e-01 1.290140210535904552e+00 1.440723783730147423e+00 5.779728202652121283e-01 
8.158332239527863905e+00 6.456968074028060073e+03 3.134845566639080500e+15 5.053730055625167365e+33 7.384352189070125284e-03 4.212429561039425443e-08 2.138489140885211964e+04 1.208042453343945963e+05 3.206137147211702541e+02 4.365919972277375154e-03 9.482356852322998009e+01 5.054160226466033468e-01 1.311373303881061325e+00 1.460766271121963999e+00 6.028028796877921147e-01 
8.189096049766119378e+00 6.427305462042907493e+03 3.077636732043436000e+15 4.961502862706932472e+33 7.208853213903018003e-03 4.259412599590000773e-08 2.122224787809535337e+04 1.212225986158925662e+05 3.215806459505853923e+02 4.219992819834402289e-03 9.771837280525126346e+01 4.854397531521388309e-01 1.333490958995158238e+00 1.481956081165234140e+00 6.311516163262320678e-01 
8.228107826690981952e+00 6.397779116884496943e+03 3.021471920410408500e+15 4.870958754365841468e+33 7.036493327878295262e-03 4.310091326069087226e-08 2.105243564498448177e+04 1.216833945324600354e+05 3.232188407581294882e+02 4.071063228875284809e-03 1.008760598104303767e+02 4.663038275174524183e-01 1.356523200957645781e+00 1.504335450608833780e+00 6.636925390221849463e-01 
8.275971243875705596e+00 6.368388412557778793e+03 2.966332079019297000e+15 4.782067015434209774e+33 6.867306772934364187e-03 4.364823119899233096e-08 2.087438388581781692e+04 1.221863834902610397e+05 3.233423675624332532e+02 3.918876919013093880e-03 1.043377020337815111e+02 4.480059993789971551e-01 1.380498311691009006e+00 1.527945872764981727e+00 7.012857701609955807e-01 
8.333413105419740674e+00 6.339132725943457444e+03 2.912198502848810500e+15 4.694797491275618152e+33 6.701322556181906961e-03 4.424059354192328694e-08 2.068675160624550699e+04 1.227314146900200285e+05 3.268744228241911856e+02 3.763078075394236856e-03 1.081555628909835036e+02 4.305471787473246770e-01 1.405437212058453955e+00 1.552822918213974113e+00 7.450634007594840735e-01 
8.401240349168629606e+00 6.310011436784798207e+03 2.859052828231817500e+15 4.609120577555646049e+33 6.538569797671588656e-03 4.488349009376847590e-08 2.048793374203464555e+04 1.233182282245622191e+05 3.299009124463964326e+02 3.603256160057513244e-03 1.123953190597761420e+02 4.139315454349042911e-01 1.431344026603060149e+00 1.578984732436331972e+00 7.965093022324516436e-01 
