# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 0.01, structure = BellLin, mu = 0.62
6.905513520162316895e+10 1.162362726818354713e+05 3.560794879893071084e+03 2.796204184023742976e+18 8.300917273673225282e+03 1.194504407905188278e+37 1.389191936115849735e-01 3.431533008321989704e-07 9.215306014825114107e+04 4.240728196464249864e+06 3.687926567688980867e+04 4.288726768153639651e-02 2.030664222547938280e+01 5.789014269400329482e+00 5.408421701855146146e-01 1.151120135335353512e+00 4.462946156646991902e-01 
7.149428986597561646e+10 1.203419520907750266e+05 3.481871334036442477e+03 2.796204184023742976e+18 8.087775580542767784e+03 1.215524174790254517e+37 1.383086221727147236e-01 3.233310233747698095e-07 8.955153325953880267e+04 3.882959836649078410e+06 3.649480135564582451e+04 4.176947109096173366e-02 2.054952335899376692e+01 5.709600477667962082e+00 5.445211265346725504e-01 1.150956335196438474e+00 4.462826586002290319e-01 
7.401959996915652466e+10 1.245926516644199291e+05 3.404564727672959179e+03 2.796204184023742976e+18 7.880103709134698875e+03 1.236911948660286377e+37 1.376288519427620594e-01 3.046462749981690907e-07 8.702316506299679168e+04 3.555275356230744626e+06 3.611353190206649015e+04 4.068141277268071121e-02 2.079502170099085845e+01 5.625262423638429432e+00 5.485036307710113856e-01 1.150777373818909322e+00 4.462523168445332589e-01 
7.663410868007463074e+10 1.289934937823015207e+05 3.328833138295433855e+03 2.796204184023742976e+18 7.677761415838026551e+03 1.258674172457378250e+37 1.368744359982809744e-01 2.870350167844079179e-07 8.456602990935296111e+04 3.255167341065320186e+06 3.573557511565382447e+04 3.962234912152863553e-02 2.104314313379106238e+01 5.535721650804863003e+00 5.528186622403222783e-01 1.150580051349450184e+00 4.461989992147609163e-01 
7.934096665797491455e+10 1.335497817558398528e+05 3.254633704096952897e+03 2.796204184023742976e+18 7.480612047374656868e+03 1.280817401924487715e+37 1.360395376510575294e-01 2.704368700401868493e-07 8.217828315940903849e+04 2.980337589338021819e+06 3.536112041107765981e+04 3.859158052371539083e-02 2.129388230570121010e+01 5.440692300614888843e+00 5.574983499382927254e-01 1.150360864030148589e+00 4.461167371136980919e-01 
8.214343584919421387e+10 1.382670062191894394e+05 3.181922435318715088e+03 2.796204184023742976e+18 7.288522449117572251e+03 1.303348307580305354e+37 1.351179036649213239e-01 2.547949622209774169e-07 7.985816173741969396e+04 2.728680211606753524e+06 3.499041226673511846e+04 3.758844541870202949e-02 2.154722400470579302e+01 5.339882693877368247e+00 5.625783219047313377e-01 1.150115945658653160e+00 4.459980288182187613e-01 
8.504489341802668762e+10 1.431508517458239221e+05 3.110654186137301167e+03 2.796204184023742976e+18 7.101362875740065647e+03 1.326273676728711893e+37 1.341027714757798694e-01 2.400557297848470295e-07 7.760400300370554032e+04 2.498266105138175655e+06 3.462379437922057696e+04 3.661234699503487788e-02 2.180312851257969697e+01 5.232990952592057710e+00 5.680985309422360574e-01 1.149841371054980188e+00 4.458329375599056621e-01 
8.804883581643446350e+10 1.482072036988303880e+05 3.040782632453256156e+03 2.796204184023742976e+18 6.919006904137292622e+03 1.349600415503413891e+37 1.329868000638785852e-01 2.261688869833836808e-07 7.541422482503883657e+04 2.287328955070687458e+06 3.426177789775995916e+04 3.566270063495995124e-02 2.206155646334757847e+01 5.119706525327464064e+00 5.741037259151945404e-01 1.149532831871100225e+00 4.456098396691695607e-01 
9.115888299750837708e+10 1.534421553231693106e+05 2.972260490251122974e+03 2.796204184023742976e+18 6.741331348562766834e+03 1.373335550948378521e+37 1.317620592827203896e-01 2.130871525289677375e-07 7.328738136948953616e+04 2.094252129620704800e+06 3.390509986697338900e+04 3.473902469459166920e-02 2.232242066906172084e+01 4.999711433790401394e+00 5.806443950891787553e-01 1.149186704019558247e+00 4.453129372032106903e-01 
9.437878277775390625e+10 1.588620150884428294e+05 2.905039787432168851e+03 2.796204184023742976e+18 6.568216177923926807e+03 1.397486233134679444e+37 1.304199707549796028e-01 2.007663037195045666e-07 7.122213448048889404e+04 1.917557095335240941e+06 3.355488001372582221e+04 3.384086119385236457e-02 2.258562540032036381e+01 4.872685331468801451e+00 5.877772809820166477e-01 1.148799749960973227e+00 4.449234482838513305e-01 
9.771241535346501160e+10 1.644733142910298484e+05 2.839072522011794717e+03 2.796204184023742976e+18 6.399544435181973313e+03 1.422059737314429549e+37 1.289513381839000605e-01 1.891649830011280408e-07 6.921730751818622230e+04 1.755892577391050290e+06 3.321281624450586969e+04 3.296785064856862929e-02 2.285102397824868348e+01 4.738312181898033160e+00 5.955663378556718124e-01 1.148370464414542935e+00 4.444171989984395110e-01 
